title,price,OS,SSD,Display,In_build_sw,warranty,id_laptop,RAM_GB,RAM_Type,Proc_Manufacturer,Proc_Series,Proc_Generation,Proc_Cores
acer Nitro 5 Ryzen 7 Octa Core AMD R7-5800H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics...,94990,64 bit Windows 10 Operating System,256,39.62 cm (15.6 inch) Display,"Quick Access, Acer Care Center, Acer Product Registration, NitroSense, GOTrust, PC Manager",1 Year International Travelers Warranty,61,16,DDR4,AMD,Ryzen 7,,8.0
MSI Katana GF66 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,76990,64 bit Windows 11 Operating System,512,39.62 cm (15.6 Inch) Display,,2 Year Carry-In Warranty Term,62,16,DDR4,Intel,Core i5,12.0,
ASUS Zenbook Flip 14 OLED (2022) Touch Panel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UP5...,85990,64 bit Windows 11 Operating System,512,35.56 cm (14 inch) Touchscreen Display,,1 Year Onsite Warranty,63,16,DDR5,Intel,Core i5,12.0,
HP Pavilion Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-dv2053TU Thin and Light Lapt...,62499,64 bit Windows 11 Operating System,512,35.56 cm (14 Inch) Display,"HP Documentation, HP BIOS recovery, HP Smart, Microsoft Office Home & Student 2021",1 Year Onsite Warranty,64,8,DDR4,Intel,Core i5,12.0,
APPLE MacBook Air M1 - (16 GB/256 GB SSD/Mac OS Big Sur) Z124J005KD,112900,Mac OS Operating System,256,33.78 cm (13.3 inch) Display,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warranty,65,16,DDR4,Apple,M1,,
HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Thin and Light La...,61990,64 bit Windows 11 Operating System,512,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,66,16,DDR4,AMD,Ryzen 5,,6.0
ASUS TUF Gaming F15 (2022) Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,118990,64 bit Windows 11 Operating System,1024,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,67,16,DDR5,Intel,Core i7,12.0,
ASUS TUF Gaming A17 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windo...,88990,64 bit Windows 11 Operating System,512,43.94 cm (17.3 Inch) Display,,1 Year Onsite Warranty,68,16,DDR4,AMD,Ryzen 7,,8.0
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,41490,64 bit Windows 11 Operating System,512,39.62 cm (15.6 inch) Display,Office Home and Student 2021,2 Year Onsite�Warranty,69,8,DDR4,Intel,Core i3,11.0,
APPLE MacBook Air M1 - (16 GB/256 GB SSD/Mac OS Big Sur) Z124J001KD,105990,Mac OS Operating System,256,33.78 cm (13.3 inch) Display,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warranty,70,16,DDR4,Apple,M1,,
