title,price,SSD,In_build_sw,id_laptop,RAM_GB,RAM_Type,Proc_Manufacturer,Proc_Series,Proc_Generation,Proc_Cores,OS_Name,OS_Bitness,Display_inch,Touchscreen,Warranty_Years,Warranty_Type,average_rating
HP Pavilion Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-dv2053TU Thin and Light Lapt...,62499,512,"HP Documentation, HP BIOS recovery, HP Smart, Microsoft Office Home & Student 2021",64,8,1,2,3,12.0,8.0,3,64.0,14.0,0,1,2,3.75
APPLE MacBook Air M1 - (16 GB/256 GB SSD/Mac OS Big Sur) Z124J005KD,112900,256,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",65,16,1,1,6,,8.0,1,,13.3,0,1,1,3.9454545454545453
HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Thin and Light La...,61990,512,,66,16,1,0,11,,6.0,3,64.0,14.0,0,1,2,3.872340425531915
ASUS TUF Gaming F15 (2022) Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,118990,1024,,67,16,2,2,4,12.0,8.0,3,64.0,15.6,0,1,2,3.8095238095238093
ASUS TUF Gaming A17 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD/Windo...,88990,512,,68,16,1,0,12,,8.0,3,64.0,17.3,0,1,2,4.0
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,41490,512,Office Home and Student 2021,69,8,1,2,2,11.0,8.0,3,64.0,15.6,0,2,2,4.012820512820513
APPLE MacBook Air M1 - (16 GB/256 GB SSD/Mac OS Big Sur) Z124J001KD,105990,256,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",70,16,1,1,6,,8.0,1,,13.3,0,1,1,3.5853658536585367
Lenovo Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 81WA00Q3IN|81WA00MEIN Thin and Light...,33990,256,,71,8,1,2,2,10.0,8.0,3,64.0,14.0,0,2,2,3.2941176470588234
DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop,36990,512,,72,8,1,2,2,10.0,8.0,3,64.0,15.6,0,1,2,3.872340425531915
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A,86990,256,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",74,8,1,1,6,,8.0,1,,13.3,0,1,1,3.5
DELL Vostro Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 Home) Vostro 5625 Thin and Light La...,99693,512,Office Home and Student 2021,75,16,1,0,12,,8.0,3,64.0,16.0,0,1,2,3.608695652173913
ASUS Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X415JA-EK324WS Notebook,33990,512,,76,8,1,2,2,10.0,8.0,3,64.0,14.0,0,1,3,3.5
